skill,groupName,subGroupName,count,score,digital_assign,mod,lv.mod,order
5 axis lathes,Tools and Equipment,Miscellaneous or unclassified,21,175.2500861332587,0,Trades,Non-digital skills,1
5S Methodology,Occupational Skills,Business planning and operations,1839,229.37862334100038,0,Business and management,Non-digital skills,1
Ability to Learn,Social-Emotional Skills,Cognitive,417544,232.41764215721247,0,Sales and merchandising,Non-digital skills,1
Abrasive wheels,Tools and Equipment,Miscellaneous or unclassified,65,235.07349451891776,0,Trades,Non-digital skills,1
Access control systems,Tools and Equipment,Security,3062,135.22767737199268,0,Sales and merchandising,Non-digital skills,1
Accounting,Occupational Skills,Corporate finance and accounting,358855,157.1218260820688,0,General office,Non-digital skills,1
ACE Dental,Technologies,Medical software,8,208.11650593989924,1,Communication and interaction,Non-digital skills,1
Acetylene welding equipment,Tools and Equipment,Miscellaneous or unclassified,207,206.3849122294811,0,Trades,Non-digital skills,1
ACLS (Advanced Cardiac Life Support),Occupational Skills,Health services,17220,196.99287636722306,0,Sales and merchandising,Non-digital skills,1
Acoustic guitars,Tools and Equipment,Miscellaneous or unclassified,10,298.9722399793909,0,Communication and interaction,Non-digital skills,1
Adjustable beds,Tools and Equipment,Miscellaneous or unclassified,232,230.39658896088784,0,Sales and merchandising,Non-digital skills,1
Adjustable wrenches,Tools and Equipment,Miscellaneous or unclassified,16,357.785840139782,0,Trades,Non-digital skills,1
Adjusting tables,Tools and Equipment,Miscellaneous or unclassified,5,219.283219275031,0,High-tech,Non-digital skills,1
Adjustment tables,Tools and Equipment,Miscellaneous or unclassified,4,223.215297026068,0,General office,Non-digital skills,1
Advanced product quality planning (APQP),Occupational Skills,Quality management,730,125.75762617256268,0,Business and management,Non-digital skills,1
Advocacy Skills,Social-Emotional Skills,Interpersonal,8679,200.28988179748328,0,Business and management,Non-digital skills,1
Aerators,Tools and Equipment,Building and facilities,431,360.77169877061857,0,Trades,Non-digital skills,1
Aerial bucket trucks,Tools and Equipment,Miscellaneous or unclassified,79,370.7251796118154,0,Trades,Non-digital skills,1
Aerial lift trucks,Tools and Equipment,Miscellaneous or unclassified,26,303.8736266481621,0,Trades,Non-digital skills,1
Aerial lifts,Tools and Equipment,Lifting equipment,1700,352.67428345871537,0,Trades,Non-digital skills,1
Aerial manlifts,Tools and Equipment,Miscellaneous or unclassified,5,327.18819936071276,0,Trades,Non-digital skills,1
Aerial trucks,Tools and Equipment,Miscellaneous or unclassified,21,422.00629248523524,0,Trades,Non-digital skills,1
Air brake hoses,Tools and Equipment,Miscellaneous or unclassified,32,134.134506212386,0,Trades,Non-digital skills,1
Air carts,Tools and Equipment,Miscellaneous or unclassified,20,356.0855620079163,0,Trades,Non-digital skills,1
Air cleaners,Tools and Equipment,Miscellaneous or unclassified,277,286.8571314605698,0,Trades,Non-digital skills,1
Air compressors,Tools and Equipment,Mechanical and plumbing,5764,354.2088461563052,0,Trades,Non-digital skills,1
Air conditioning systems,Tools and Equipment,Building and facilities,7513,196.63530115411882,0,Trades,Non-digital skills,1
Air conditioning units,Tools and Equipment,Building and facilities,1741,237.219554716396,0,Trades,Non-digital skills,1
Air cooling systems,Tools and Equipment,Miscellaneous or unclassified,7,192.98485515722146,0,Business and management,Non-digital skills,1
Air gauges,Tools and Equipment,Miscellaneous or unclassified,81,275.52372927960516,0,Trades,Non-digital skills,1
Air grinders,Tools and Equipment,Miscellaneous or unclassified,173,351.3784897118486,0,Trades,Non-digital skills,1
Air guns,Tools and Equipment,Mechanical and plumbing,2009,414.281253207346,0,Trades,Non-digital skills,1
Air Handling systems,Tools and Equipment,Building and facilities,1739,207.27716650847537,0,Trades,Non-digital skills,1
Air heaters,Tools and Equipment,Miscellaneous or unclassified,29,294.4164414569277,0,Trades,Non-digital skills,1
Air horns,Tools and Equipment,Miscellaneous or unclassified,15,128.73674474691424,0,Sales and merchandising,Non-digital skills,1
Air knives,Tools and Equipment,Miscellaneous or unclassified,17,264.4704774001825,0,Trades,Non-digital skills,1
Air monitoring equipment,Tools and Equipment,Miscellaneous or unclassified,78,141.49790257074508,0,Trades,Non-digital skills,1
Air purifying respirators,Tools and Equipment,Miscellaneous or unclassified,30,231.11159815638317,0,Trades,Non-digital skills,1
Air quality,Occupational Skills,Environmental and social sustainability,3361,216.40047067552717,0,Trades,Non-digital skills,1
Air ratchets,Tools and Equipment,Miscellaneous or unclassified,43,325.6663342237686,0,Trades,Non-digital skills,1
Air samplers,Tools and Equipment,Miscellaneous or unclassified,13,140.09539935217344,0,Trades,Non-digital skills,1
Air sanders,Tools and Equipment,Miscellaneous or unclassified,57,344.8602675322623,0,Sales and merchandising,Non-digital skills,1
Air scrubbers,Tools and Equipment,Building and facilities,333,274.56043661826106,0,Trades,Non-digital skills,1
Air seeders,Tools and Equipment,Miscellaneous or unclassified,26,399.977342608431,0,Trades,Non-digital skills,1
Air staple guns,Tools and Equipment,Miscellaneous or unclassified,7,281.7366423864002,0,Trades,Non-digital skills,1
Air tanks,Tools and Equipment,Miscellaneous or unclassified,114,198.7089931721939,0,Trades,Non-digital skills,1
Airless paint guns,Tools and Equipment,Miscellaneous or unclassified,5,370.395352232583,0,Sales and merchandising,Non-digital skills,1
Airless spray equipment,Tools and Equipment,Painting and coating,1249,475.0090370136643,0,Sales and merchandising,Non-digital skills,1
Airport surveillance radar ASR systems,Tools and Equipment,Miscellaneous or unclassified,93,91.32020247197731,0,High-tech,Non-digital skills,1
Alarm systems,Tools and Equipment,Security,10583,183.76218449396544,0,Trades,Non-digital skills,1
Aligners,Tools and Equipment,Miscellaneous or unclassified,286,229.455755163785,0,Business and management,Non-digital skills,1
Alignment machines,Tools and Equipment,Miscellaneous or unclassified,107,218.17085230586295,0,Trades,Non-digital skills,1
Alignment tools,Tools and Equipment,Miscellaneous or unclassified,171,176.01314510088793,0,Trades,Non-digital skills,1
All-terrain cranes,Tools and Equipment,Miscellaneous or unclassified,4,282.09307849254634,0,Trades,Non-digital skills,1
All-terrain vehicles ATV,Tools and Equipment,Miscellaneous or unclassified,38,328.6441595534446,0,Sales and merchandising,Non-digital skills,1
All terrain vehicles ATV,Tools and Equipment,Miscellaneous or unclassified,321,234.69612910769237,0,Sales and merchandising,Non-digital skills,1
Allen wrenches,Tools and Equipment,Miscellaneous or unclassified,125,344.86491752514695,0,Trades,Non-digital skills,1
ALS (Advanced Life Support),Occupational Skills,Health services,4255,200.59076230633858,0,Sales and merchandising,Non-digital skills,1
Altimeters,Tools and Equipment,Miscellaneous or unclassified,13,248.34392877433442,0,High-tech,Non-digital skills,1
Aluminum ladders,Tools and Equipment,Miscellaneous or unclassified,2,365.60063566076155,0,Sales and merchandising,Non-digital skills,1
American Sign Language (ASL),Social-Emotional Skills,Languages,3315,233.09787756928023,0,Communication and interaction,Non-digital skills,1
Ammeters,Tools and Equipment,Miscellaneous or unclassified,150,87.83115701332629,0,Trades,Non-digital skills,1
Amp meters,Tools and Equipment,Miscellaneous or unclassified,57,122.81209382459349,0,Trades,Non-digital skills,1
Analytic balances,Tools and Equipment,Miscellaneous or unclassified,30,184.10643347745156,0,Sales and merchandising,Non-digital skills,1
Analytical balances,Tools and Equipment,Miscellaneous or unclassified,211,119.23703222119852,0,Trades,Non-digital skills,1
Analytical Skills,Occupational Skills,Analysis and research,522669,135.98525136201806,0,Business and management,Non-digital skills,1
Anatomical models,Tools and Equipment,Miscellaneous or unclassified,28,104.01850505923721,0,Sales and merchandising,Non-digital skills,1
Anchor chains,Tools and Equipment,Miscellaneous or unclassified,14,299.3287687951382,0,Trades,Non-digital skills,1
Anchor winches,Tools and Equipment,Miscellaneous or unclassified,20,383.9035532313631,0,Trades,Non-digital skills,1
Anechoic chambers,Tools and Equipment,Miscellaneous or unclassified,23,163.60954387907245,0,General office,Non-digital skills,1
Anesthesia carts,Tools and Equipment,Miscellaneous or unclassified,18,325.25511944699736,0,Sales and merchandising,Non-digital skills,1
Anesthesia machines,Tools and Equipment,Miscellaneous or unclassified,61,188.8103732054118,0,Trades,Non-digital skills,1
Angle finders,Tools and Equipment,Miscellaneous or unclassified,100,285.04266108348844,0,Trades,Non-digital skills,1
Animal crates,Tools and Equipment,Miscellaneous or unclassified,37,394.812191302348,0,Sales and merchandising,Non-digital skills,1
Animal restraints,Tools and Equipment,Miscellaneous or unclassified,8,174.65781396167,0,Communication and interaction,Non-digital skills,1
Animal traps,Tools and Equipment,Miscellaneous or unclassified,172,441.7520117218964,0,Sales and merchandising,Non-digital skills,1
Annealing furnaces,Tools and Equipment,Miscellaneous or unclassified,3,207.406332371201,0,Trades,Non-digital skills,1
Announcement systems,Tools and Equipment,Miscellaneous or unclassified,29,127.67846798265998,0,General office,Non-digital skills,1
Annunciators,Tools and Equipment,Miscellaneous or unclassified,79,208.4936776807572,0,Trades,Non-digital skills,1
Anti-Money Laundering,Occupational Skills,Banking and insurance,7721,125.94227754189413,0,Business and management,Non-digital skills,1
Anvils,Tools and Equipment,Miscellaneous or unclassified,26,284.9483059425254,0,Trades,Non-digital skills,1
Appliance dollies,Tools and Equipment,Miscellaneous or unclassified,18,417.143041209218,0,Trades,Non-digital skills,1
Arabic language,Social-Emotional Skills,Languages,3831,207.4413390359209,0,Communication and interaction,Non-digital skills,1
Arbor presses,Tools and Equipment,Miscellaneous or unclassified,8,208.5824707819898,0,Trades,Non-digital skills,1
Arborist saws,Tools and Equipment,Miscellaneous or unclassified,2,460.393224948663,0,Sales and merchandising,Non-digital skills,1
Arbors,Tools and Equipment,Miscellaneous or unclassified,70,358.1759823464426,0,Trades,Non-digital skills,1
Arc welding equipment,Tools and Equipment,Miscellaneous or unclassified,80,370.78090803174064,0,Trades,Non-digital skills,1
Armored cars,Tools and Equipment,Miscellaneous or unclassified,70,381.3544029424952,0,Trades,Non-digital skills,1
Arrow boards,Tools and Equipment,Miscellaneous or unclassified,80,152.96847315068047,0,Trades,Non-digital skills,1
Articulators,Tools and Equipment,Miscellaneous or unclassified,36,286.5265233590594,0,Sales and merchandising,Non-digital skills,1
Asphalt kettles,Tools and Equipment,Miscellaneous or unclassified,4,454.88928703092,0,Trades,Non-digital skills,1
Asphalt pavers,Tools and Equipment,Miscellaneous or unclassified,76,411.8031377125072,0,Sales and merchandising,Non-digital skills,1
Asphalt saws,Tools and Equipment,Miscellaneous or unclassified,3,427.718322721084,0,Trades,Non-digital skills,1
Asphalt spreaders,Tools and Equipment,Miscellaneous or unclassified,9,372.32834024878787,0,Trades,Non-digital skills,1
Asset Management,Occupational Skills,Business planning and operations,7050,127.20489565792298,0,Business and management,Non-digital skills,1
Athey loaders,Tools and Equipment,Miscellaneous or unclassified,9,417.143041209218,0,Trades,Non-digital skills,1
Atlas Search,Technologies,Business intelligence and data analysis software,7,324.78197842913085,1,Trades,Non-digital skills,1
Atmospheric testing equipment,Tools and Equipment,Miscellaneous or unclassified,7,330.303798562092,0,Trades,Non-digital skills,1
Atomic absorption spectrometers,Tools and Equipment,Miscellaneous or unclassified,6,85.9443685524207,0,Trades,Non-digital skills,1
Atomic layer deposition ALD systems,Tools and Equipment,Miscellaneous or unclassified,6,221.3497068782905,0,Business and management,Non-digital skills,1
Attention to Detail,Social-Emotional Skills,Personal qualities,1616788,229.86003297694018,0,Sales and merchandising,Non-digital skills,1
Audio speakers,Tools and Equipment,Miscellaneous or unclassified,13,130.86585991961678,0,High-tech,Non-digital skills,1
Audiometers,Tools and Equipment,Miscellaneous or unclassified,92,180.26545852110124,0,Trades,Non-digital skills,1
Auditing,Occupational Skills,Corporate finance and accounting,49964,150.7159913059218,0,Business and management,Non-digital skills,1
Augers,Tools and Equipment,Building and facilities,1858,342.42530136022503,0,Trades,Non-digital skills,1
Augmentative communication systems,Tools and Equipment,Miscellaneous or unclassified,215,166.08840438797156,0,Sales and merchandising,Non-digital skills,1
Auto scrubbers,Tools and Equipment,Cleaning,1304,381.3165533560223,0,Sales and merchandising,Non-digital skills,1
Autoclaves,Tools and Equipment,"Health, safety and environmental",1161,192.70544550407612,0,Trades,Non-digital skills,1
Automated external defibrillators AED,Tools and Equipment,Miscellaneous or unclassified,95,161.74505352293795,0,Sales and merchandising,Non-digital skills,1
Automated filing systems,Tools and Equipment,Miscellaneous or unclassified,12,207.19282146391419,0,General office,Non-digital skills,1
Automated lathes,Tools and Equipment,Miscellaneous or unclassified,12,282.36787400978835,0,Trades,Non-digital skills,1
Automated locks,Tools and Equipment,Miscellaneous or unclassified,2,182.505645219869,0,Trades,Non-digital skills,1
Automated mail processing equipment,Tools and Equipment,Miscellaneous or unclassified,3,181.612241585386,0,General office,Non-digital skills,1
Automatic control systems,Tools and Equipment,Miscellaneous or unclassified,81,135.68276255001572,0,Trades,Non-digital skills,1
Automatic fish feeders,Tools and Equipment,Miscellaneous or unclassified,5,114.985325818767,0,Trades,Non-digital skills,1
Automatic lathes,Tools and Equipment,Industrial manufacturing,1129,216.19632997235146,0,Trades,Non-digital skills,1
Automatic taping tools,Tools and Equipment,Miscellaneous or unclassified,7,462.461315105828,0,Trades,Non-digital skills,1
Automatic teller machines ATMs,Tools and Equipment,Office and business operations,682,106.51366702555435,0,General office,Non-digital skills,1
Automatic tool changers,Tools and Equipment,Miscellaneous or unclassified,19,260.19742573921275,0,Trades,Non-digital skills,1
Autorefractors,Tools and Equipment,Miscellaneous or unclassified,2,113.912691464023,0,Sales and merchandising,Non-digital skills,1
Baby bottles,Tools and Equipment,Miscellaneous or unclassified,323,463.25959923235683,0,Sales and merchandising,Non-digital skills,1
Back braces,Tools and Equipment,Miscellaneous or unclassified,12,271.07987577213976,0,Trades,Non-digital skills,1
Backhoe attachments,Tools and Equipment,Miscellaneous or unclassified,11,359.2493169717489,0,Trades,Non-digital skills,1
Backhoes,Tools and Equipment,Building and facilities,1854,336.03519370612344,0,Trades,Non-digital skills,1
Backpack vacuums,Tools and Equipment,Miscellaneous or unclassified,23,443.240818627075,0,Sales and merchandising,Non-digital skills,1
Backwash filters,Tools and Equipment,Miscellaneous or unclassified,41,339.89115897527677,0,Sales and merchandising,Non-digital skills,1
Bagging machines,Tools and Equipment,Miscellaneous or unclassified,233,337.76929131141,0,Trades,Non-digital skills,1
Bake ovens,Tools and Equipment,Miscellaneous or unclassified,55,146.76132608640646,0,Trades,Non-digital skills,1
Baking equipment,Tools and Equipment,Kitchen equipment,573,349.48003427404325,0,Sales and merchandising,Non-digital skills,1
Baking sheets,Tools and Equipment,Miscellaneous or unclassified,19,375.07291285004044,0,Sales and merchandising,Non-digital skills,1
Balance scales,Tools and Equipment,Office and business operations,2998,269.27322861299166,0,Communication and interaction,Non-digital skills,1
Balancing machines,Tools and Equipment,Miscellaneous or unclassified,27,215.33232923985236,0,Communication and interaction,Non-digital skills,1
Baling equipment,Tools and Equipment,Miscellaneous or unclassified,73,336.600886428535,0,Trades,Non-digital skills,1
Balkan frames,Tools and Equipment,Miscellaneous or unclassified,4,198.276774354962,0,Sales and merchandising,Non-digital skills,1
Ball valves,Tools and Equipment,Miscellaneous or unclassified,69,218.0050636362111,0,Sales and merchandising,Non-digital skills,1
Ballistic vests,Tools and Equipment,Miscellaneous or unclassified,6,182.2122235783038,0,Sales and merchandising,Non-digital skills,1
Band cutters,Tools and Equipment,Miscellaneous or unclassified,66,313.30561316051177,0,Trades,Non-digital skills,1
Band saws,Tools and Equipment,Mechanical and plumbing,1044,325.07029011523014,0,Trades,Non-digital skills,1
Banding machines,Tools and Equipment,Miscellaneous or unclassified,99,311.4603694489039,0,Sales and merchandising,Non-digital skills,1
Bar code readers,Tools and Equipment,Miscellaneous or unclassified,103,129.8446949640243,0,High-tech,Non-digital skills,1
Bar cutters,Tools and Equipment,Miscellaneous or unclassified,12,435.60853680766456,0,Trades,Non-digital skills,1
Bar feeders,Tools and Equipment,Miscellaneous or unclassified,3,320.493185567929,0,Trades,Non-digital skills,1
Bar levels,Tools and Equipment,Miscellaneous or unclassified,5,156.3788745516839,0,Business and management,Non-digital skills,1
Barber scissors,Tools and Equipment,Miscellaneous or unclassified,4,423.222491128378,0,Sales and merchandising,Non-digital skills,1
Barometers,Tools and Equipment,Miscellaneous or unclassified,16,122.75011953763034,0,Trades,Non-digital skills,1
Barrier gates,Tools and Equipment,Miscellaneous or unclassified,54,197.6939630108232,0,Trades,Non-digital skills,1
Base radios,Tools and Equipment,Miscellaneous or unclassified,15,120.65395465676875,0,Business and management,Non-digital skills,1
Baseballs,Tools and Equipment,Miscellaneous or unclassified,37,317.73121750551246,0,Sales and merchandising,Non-digital skills,1
Basic Life Support,Occupational Skills,Health services,18405,206.47511905735198,0,Sales and merchandising,Non-digital skills,1
Basketball hoops,Tools and Equipment,Miscellaneous or unclassified,142,185.5254324383833,0,High-tech,Non-digital skills,1
Basketballs,Tools and Equipment,Miscellaneous or unclassified,6,147.91693511288867,0,Sales and merchandising,Non-digital skills,1
Bass drums,Tools and Equipment,Miscellaneous or unclassified,30,161.16347947717483,0,Business and management,Non-digital skills,1
Bath robes,Tools and Equipment,Miscellaneous or unclassified,4,439.83069632513946,0,Sales and merchandising,Non-digital skills,1
Battery chargers,Tools and Equipment,Miscellaneous or unclassified,302,125.99768210600992,0,Trades,Non-digital skills,1
Battery testers,Tools and Equipment,Miscellaneous or unclassified,66,226.42348751900397,0,Sales and merchandising,Non-digital skills,1
Beakers,Tools and Equipment,Miscellaneous or unclassified,28,320.3061934670543,0,Trades,Non-digital skills,1
Beaters,Tools and Equipment,Miscellaneous or unclassified,93,365.2896916129042,0,Sales and merchandising,Non-digital skills,1
Bed cradles,Tools and Equipment,Miscellaneous or unclassified,82,179.10008836703793,0,Sales and merchandising,Non-digital skills,1
Belt loaders,Tools and Equipment,Miscellaneous or unclassified,315,179.55622171653394,0,Sales and merchandising,Non-digital skills,1
Bench grinders,Tools and Equipment,Miscellaneous or unclassified,96,326.41317537039134,0,Trades,Non-digital skills,1
Bending brakes,Tools and Equipment,Miscellaneous or unclassified,23,390.85351803868394,0,Trades,Non-digital skills,1
Beveling machines,Tools and Equipment,Miscellaneous or unclassified,30,419.9138353500694,0,Trades,Non-digital skills,1
Beverage machines,Tools and Equipment,Miscellaneous or unclassified,116,333.69945990262784,0,Sales and merchandising,Non-digital skills,1
Bilimeters,Tools and Equipment,Miscellaneous or unclassified,106,197.88600414992504,0,Communication and interaction,Non-digital skills,1
Bilingual,Social-Emotional Skills,Languages,866289,201.76279183544,0,Communication and interaction,Non-digital skills,1
Binding machines,Tools and Equipment,Miscellaneous or unclassified,167,199.38023972101624,0,General office,Non-digital skills,1
Binoculars,Tools and Equipment,Miscellaneous or unclassified,156,174.52206351050864,0,Communication and interaction,Non-digital skills,1
Biofilters,Tools and Equipment,Miscellaneous or unclassified,54,236.5811693461432,0,Trades,Non-digital skills,1
Biohazard containers,Tools and Equipment,Miscellaneous or unclassified,174,312.72510354176507,0,Sales and merchandising,Non-digital skills,1
Biomicroscopes,Tools and Equipment,Miscellaneous or unclassified,1,113.912691464023,0,Sales and merchandising,Non-digital skills,1
Biopsy forceps,Tools and Equipment,Miscellaneous or unclassified,16,332.263730201769,0,Sales and merchandising,Non-digital skills,1
Bite blocks,Tools and Equipment,Miscellaneous or unclassified,80,305.0495168646508,0,Sales and merchandising,Non-digital skills,1
Bitts,Tools and Equipment,Miscellaneous or unclassified,113,170.3821607515904,0,Sales and merchandising,Non-digital skills,1
Blackjack tables,Tools and Equipment,Miscellaneous or unclassified,8,443.240818627075,0,Sales and merchandising,Non-digital skills,1
Bladder pumps,Tools and Equipment,Miscellaneous or unclassified,3,135.409994191981,0,Business and management,Non-digital skills,1
Bladder scanners,Tools and Equipment,Miscellaneous or unclassified,30,192.39370642282861,0,Business and management,Non-digital skills,1
Blanking presses,Tools and Equipment,Miscellaneous or unclassified,6,247.024530664078,0,Business and management,Non-digital skills,1
Blast freezers,Tools and Equipment,Miscellaneous or unclassified,178,307.0202185937066,0,Sales and merchandising,Non-digital skills,1
Block weights,Tools and Equipment,Miscellaneous or unclassified,46,481.2352694277463,0,General office,Non-digital skills,1
Blood gas analyzers,Tools and Equipment,Miscellaneous or unclassified,18,207.0090408376644,0,Trades,Non-digital skills,1
Blood gas machines,Tools and Equipment,Miscellaneous or unclassified,42,222.17400090205584,0,Business and management,Non-digital skills,1
Blood glucose monitors,Tools and Equipment,Medical and dental,239,210.08190658295626,0,Sales and merchandising,Non-digital skills,1
Blood irradiators,Tools and Equipment,Miscellaneous or unclassified,9,197.8849904859856,0,Trades,Non-digital skills,1
Blood pressure cuffs,Tools and Equipment,Miscellaneous or unclassified,11,228.91726375183072,0,Sales and merchandising,Non-digital skills,1
Blood pressure monitors,Tools and Equipment,Miscellaneous or unclassified,120,154.14113146748977,0,Sales and merchandising,Non-digital skills,1
Blood tubes,Tools and Equipment,Miscellaneous or unclassified,12,97.5371369068896,0,Business and management,Non-digital skills,1
Blow dryers,Tools and Equipment,Miscellaneous or unclassified,45,419.2990635260821,0,Sales and merchandising,Non-digital skills,1
Blow molding machines,Tools and Equipment,Miscellaneous or unclassified,150,332.4188122439976,0,Trades,Non-digital skills,1
Blown film extruders,Tools and Equipment,Miscellaneous or unclassified,100,339.56883325176403,0,Trades,Non-digital skills,1
Blueprint Reading,Occupational Skills,Facilities maintenance and design,80121,287.00339676672985,0,Trades,Non-digital skills,1
Boat trailers,Tools and Equipment,Miscellaneous or unclassified,38,301.1749029301413,0,Trades,Non-digital skills,1
Bobbins,Tools and Equipment,Miscellaneous or unclassified,61,416.97738267830067,0,Sales and merchandising,Non-digital skills,1
Bobcats,Tools and Equipment,Lifting equipment,4256,394.27550125120587,0,Trades,Non-digital skills,1
Body armor,Tools and Equipment,Miscellaneous or unclassified,44,141.26099692165369,0,Sales and merchandising,Non-digital skills,1
Body harnesses,Tools and Equipment,Miscellaneous or unclassified,36,309.289002184403,0,Sales and merchandising,Non-digital skills,1
Body lotions,Tools and Equipment,Miscellaneous or unclassified,3,174.567175962041,0,Business and management,Non-digital skills,1
Boilers,Tools and Equipment,Building and facilities,13396,293.741583511949,0,Trades,Non-digital skills,1
Bolsters,Tools and Equipment,Miscellaneous or unclassified,288,227.2809641663454,0,Sales and merchandising,Non-digital skills,1
Bolt action rifles,Tools and Equipment,Miscellaneous or unclassified,6,161.852069357129,0,Trades,Non-digital skills,1
Bolt cutters,Tools and Equipment,Miscellaneous or unclassified,57,292.51200157484357,0,Trades,Non-digital skills,1
BOMA BEST,Occupational Skills,Environmental and social sustainability,250,170.30833439934176,0,Business and management,Non-digital skills,1
Bookmobiles,Tools and Equipment,Miscellaneous or unclassified,9,255.729213540597,0,Sales and merchandising,Non-digital skills,1
Boom boats,Tools and Equipment,Miscellaneous or unclassified,7,207.406332371201,0,Trades,Non-digital skills,1
Boom lifts,Tools and Equipment,Lifting equipment,880,310.3774283771558,0,Trades,Non-digital skills,1
Boom trucks,Tools and Equipment,Building and facilities,1137,328.14383165811074,0,Trades,Non-digital skills,1
Bore gauges,Tools and Equipment,Miscellaneous or unclassified,366,228.09913962014164,0,Trades,Non-digital skills,1
Boring heads,Tools and Equipment,Miscellaneous or unclassified,1,203.28884580541,0,Trades,Non-digital skills,1
Boring machines,Tools and Equipment,Industrial manufacturing,1416,226.875425411116,0,Trades,Non-digital skills,1
Boring mills,Tools and Equipment,Industrial manufacturing,524,230.25888415290274,0,Trades,Non-digital skills,1
Bowling balls,Tools and Equipment,Miscellaneous or unclassified,24,382.0274886887733,0,Sales and merchandising,Non-digital skills,1
Box blades,Tools and Equipment,Miscellaneous or unclassified,205,188.75406926772445,0,High-tech,Non-digital skills,1
Boxing gloves,Tools and Equipment,Miscellaneous or unclassified,7,332.360068340421,0,Sales and merchandising,Non-digital skills,1
Bracing equipment,Tools and Equipment,Miscellaneous or unclassified,46,341.94302984927265,0,Trades,Non-digital skills,1
Braiders,Tools and Equipment,Miscellaneous or unclassified,42,444.88302952519336,0,Trades,Non-digital skills,1
Braille materials,Tools and Equipment,Miscellaneous or unclassified,27,95.0850970860898,0,Sales and merchandising,Non-digital skills,1
Brake presses,Tools and Equipment,Industrial manufacturing,552,327.5400224163968,0,Trades,Non-digital skills,1
Branding equipment,Tools and Equipment,Miscellaneous or unclassified,16,337.359236391611,0,Trades,Non-digital skills,1
Brazers,Tools and Equipment,Miscellaneous or unclassified,192,430.5927853750576,0,Trades,Non-digital skills,1
Braziers,Tools and Equipment,Miscellaneous or unclassified,4,456.146250800077,0,Trades,Non-digital skills,1
Brazing equipment,Tools and Equipment,Industrial manufacturing,1625,181.50869208927725,0,Trades,Non-digital skills,1
Brazing machines,Tools and Equipment,Miscellaneous or unclassified,27,429.4889140548237,0,Trades,Non-digital skills,1
Brazing tools,Tools and Equipment,Miscellaneous or unclassified,349,351.50718655123455,0,Trades,Non-digital skills,1
Brazing torches,Tools and Equipment,Miscellaneous or unclassified,8,316.895902341414,0,Trades,Non-digital skills,1
Bread slicers,Tools and Equipment,Miscellaneous or unclassified,58,295.4140661094296,0,Sales and merchandising,Non-digital skills,1
Breast pumps,Tools and Equipment,Miscellaneous or unclassified,149,198.3166089902227,0,Communication and interaction,Non-digital skills,1
Breath alcohol testers,Tools and Equipment,Miscellaneous or unclassified,74,180.54338127586954,0,General office,Non-digital skills,1
Breathalyzers,Tools and Equipment,Miscellaneous or unclassified,10,217.3600197910669,0,Sales and merchandising,Non-digital skills,1
BREEAM,Occupational Skills,Environmental and social sustainability,10,83.36635393384596,0,Business and management,Non-digital skills,1
Brick ovens,Tools and Equipment,Miscellaneous or unclassified,11,347.71671351055886,0,Sales and merchandising,Non-digital skills,1
Brick splitters,Tools and Equipment,Miscellaneous or unclassified,3,452.554362480555,0,Sales and merchandising,Non-digital skills,1
Bridge cranes,Tools and Equipment,Building and facilities,1611,301.0690363540108,0,Trades,Non-digital skills,1
Bridge plates,Tools and Equipment,Miscellaneous or unclassified,136,344.212029562176,0,Trades,Non-digital skills,1
Broaches,Tools and Equipment,Miscellaneous or unclassified,19,281.46752714321764,0,Trades,Non-digital skills,1
Broaching machines,Tools and Equipment,Miscellaneous or unclassified,81,203.94863561670482,0,Trades,Non-digital skills,1
Bronchoscopes,Tools and Equipment,Miscellaneous or unclassified,64,212.3373726671235,0,Business and management,Non-digital skills,1
Brush chippers,Tools and Equipment,Miscellaneous or unclassified,72,373.9789092609041,0,Trades,Non-digital skills,1
Brush cutters,Tools and Equipment,Miscellaneous or unclassified,165,319.0204939356238,0,Trades,Non-digital skills,1
Brush cutting equipment,Tools and Equipment,Miscellaneous or unclassified,4,318.73220217227697,0,Trades,Non-digital skills,1
Brush mowers,Tools and Equipment,Miscellaneous or unclassified,6,306.376375252848,0,Trades,Non-digital skills,1
Brush trimmers,Tools and Equipment,Miscellaneous or unclassified,86,424.80581837874354,0,Trades,Non-digital skills,1
Bucket attachments,Tools and Equipment,Miscellaneous or unclassified,12,436.287360970677,0,Trades,Non-digital skills,1
Bucket lifts,Tools and Equipment,Miscellaneous or unclassified,3,134.334829608066,0,Trades,Non-digital skills,1
Bucket loaders,Tools and Equipment,Miscellaneous or unclassified,32,333.13159427060435,0,Trades,Non-digital skills,1
Bucket machines,Tools and Equipment,Miscellaneous or unclassified,1,207.406332371201,0,Trades,Non-digital skills,1
Bucket trucks,Tools and Equipment,Building and facilities,778,266.0894517646027,0,Trades,Non-digital skills,1
Budgeting,Occupational Skills,Corporate finance and accounting,477585,161.38403833438514,0,Business and management,Non-digital skills,1
Buffing machines,Tools and Equipment,Mechanical and plumbing,1012,431.53695948643195,0,Sales and merchandising,Non-digital skills,1
Buffing wheels,Tools and Equipment,Miscellaneous or unclassified,80,318.2099257270331,0,Sales and merchandising,Non-digital skills,1
Building alarm systems,Tools and Equipment,Miscellaneous or unclassified,95,189.61284576923808,0,Sales and merchandising,Non-digital skills,1
